actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,additional_rows,n_scenes,n_rows,disagreement_vs_single,disagreement_count,disagreement_denominator,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from,shared_from_condition,by_family
gemma,NATURAL_FINAL_WORLD,overwrite,0.84375,0.006510416666666666,0.006510416666666666,0.4375,0.4375,0.9173177083333333,0.9173177083333333,0.88125,0.009375000000000001,0.9934895833333333,0.0,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.98046875, ""either"": 0.8984375, ""opposes"": 0.9375, ""same"": 0.7734375}"
gemma,NATURAL_FINAL_WORLD,AB,0.9153645833333334,0.08138020833333333,0.08580729166666667,0.34375,0.34375,0.916015625,0.916015625,0.8781249999999999,0.0026041666666666665,0.9141927083333333,0.00390625,,,64,1536,0.3307291666666667,508,1536,0.42048049031327395,,,,[],[],"{""both"": 0.9140625, ""direct"": 0.990234375, ""either"": 0.9140625, ""opposes"": 0.9765625, ""same"": 0.7109375}"
gemma,NATURAL_FINAL_WORLD,BA,0.9153645833333334,0.08138020833333333,0.08580729166666667,0.34375,0.34375,0.916015625,0.916015625,0.8781249999999999,0.0026041666666666665,0.9141927083333333,0.00390625,,,64,1536,0.3307291666666667,508,1536,0.42048049031327395,,,,[],[],"{""both"": 0.9140625, ""direct"": 0.990234375, ""either"": 0.9140625, ""opposes"": 0.9765625, ""same"": 0.7109375}"
gemma,NATURAL_FINAL_WORLD,ABC,0.9007161458333334,0.134765625,0.15062313988095238,0.3125,0.3125,0.876953125,0.8864182692307692,0.809375,0.10208333333333333,0.8493768601190477,0.01171875,1.0,128,64,1664,0.4479166666666667,688,1536,0.7509326718230428,,,,[],[],"{""both"": 0.921875, ""direct"": 0.978515625, ""either"": 0.80078125, ""opposes"": 0.89453125, ""same"": 0.6875}"
gemma,NATURAL_FINAL_WORLD,CBA,0.9007161458333334,0.134765625,0.15062313988095238,0.3125,0.3125,0.876953125,0.8864182692307692,0.809375,0.10208333333333333,0.8493768601190477,0.01171875,1.0,128,64,1664,0.4479166666666667,688,1536,0.7509326718230428,,,,[],[],"{""both"": 0.921875, ""direct"": 0.978515625, ""either"": 0.80078125, ""opposes"": 0.89453125, ""same"": 0.6875}"
gemma,NATURAL_FINAL_WORLD,AB_cross,0.84375,0.0013020833333333333,0.0013020833333333333,0.4375,0.4375,0.919921875,0.9236778846153846,0.8828125,0.004687500000000001,0.9986979166666667,0.0,0.96875,128,64,1664,0.044270833333333336,68,1536,0.2500371939184471,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.9765625, ""either"": 0.90625, ""opposes"": 0.9375, ""same"": 0.7890625}"
gemma,TEXT_CORRECTION_SEQ,single,0.87890625,0.03255208333333333,0.03307291666666666,0.328125,0.328125,0.921875,0.921875,0.9015625,0.029687500000000002,0.9669270833333333,0.0234375,,,64,1536,0.0,0,1536,0.0,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.98828125, ""either"": 0.921875, ""opposes"": 0.984375, ""same"": 0.71875}"
gemma,TEXT_CORRECTION_SEQ,noop,,0.03776041666666667,0.042184008402438716,0.34375,0.34375,0.9348958333333333,0.9348958333333333,0.9312499999999999,0.062499999999999986,0.9578159915975613,0.015625,,,64,1536,0.4309895833333333,662,1536,0.4249251386327136,,,,[],[],"{""both"": 0.96875, ""direct"": 0.9921875, ""either"": 0.9609375, ""opposes"": 0.984375, ""same"": 0.7109375}"
gemma,TEXT_CORRECTION_SEQ,repeat2,0.8671875,0.04687499999999999,0.04765625,0.28125,0.28125,0.9088541666666666,0.9088541666666666,0.896875,0.043750000000000004,0.9523437499999999,0.0390625,,,64,1536,0.026041666666666668,40,1536,0.10948485831851684,,,,[],[],"{""both"": 0.9296875, ""direct"": 0.98046875, ""either"": 0.9140625, ""opposes"": 0.9765625, ""same"": 0.671875}"
gemma,TEXT_CORRECTION_SEQ,repeat4,0.8697916666666666,0.04557291666666666,0.04635416666666666,0.28125,0.28125,0.9108072916666667,0.9108072916666667,0.8953125,0.040624999999999994,0.9536458333333333,0.04296875,,,64,1536,0.030598958333333332,47,1536,0.148557607667937,,,,[],[],"{""both"": 0.93359375, ""direct"": 0.978515625, ""either"": 0.9296875, ""opposes"": 0.98046875, ""same"": 0.6640625}"
