actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
qwen,FROZEN_V3_FREE_OVERWRITE_s1,repeat8,32,9.365921020507812,9.25,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,restore,32,5.2029900550842285,5.203125,0.0
qwen,FROZEN_V3_FREE_OVERWRITE_s1,restore_after4,32,6.529273986816406,6.5,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,AB,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,ABC,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,AB_cross,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,BA,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,CBA,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,noop,32,4.367387771606445,4.375,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,overwrite,32,3.814697265625e-06,0.0078125,0.09375
qwen,FROZEN_V3_INVARIANT_SET_s0,repeat2,32,3.814697265625e-06,0.00390625,0.125
qwen,FROZEN_V3_INVARIANT_SET_s0,repeat4,32,3.814697265625e-06,0.0078125,0.03125
qwen,FROZEN_V3_INVARIANT_SET_s0,repeat8,32,7.62939453125e-06,0.0078125,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,restore,32,4.367387771606445,4.375,0.0
qwen,FROZEN_V3_INVARIANT_SET_s0,restore_after4,32,4.367387771606445,4.375,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,AB,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,ABC,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,AB_cross,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,BA,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,CBA,32,,,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,noop,32,2.8854873180389404,2.88671875,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,overwrite,32,3.814697265625e-06,0.00390625,0.03125
qwen,FROZEN_V3_INVARIANT_SET_s1,repeat2,32,3.814697265625e-06,0.00390625,0.03125
qwen,FROZEN_V3_INVARIANT_SET_s1,repeat4,32,7.62939453125e-06,0.00390625,0.0625
qwen,FROZEN_V3_INVARIANT_SET_s1,repeat8,32,7.62939453125e-06,0.00390625,0.03125
qwen,FROZEN_V3_INVARIANT_SET_s1,restore,32,2.8854873180389404,2.88671875,0.0
qwen,FROZEN_V3_INVARIANT_SET_s1,restore_after4,32,2.8854873180389404,2.88671875,0.0
qwen,INV_COMPLETE_SINGLE_s0,AB,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s0,ABC,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s0,AB_cross,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s0,BA,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s0,CBA,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s0,noop,32,3.777406692504883,3.75,0.0
qwen,INV_COMPLETE_SINGLE_s0,overwrite,32,3.814697265625e-06,0.00390625,0.03125
qwen,INV_COMPLETE_SINGLE_s0,repeat2,32,3.814697265625e-06,0.00390625,0.15625
qwen,INV_COMPLETE_SINGLE_s0,repeat4,32,7.62939453125e-06,0.00390625,0.125
qwen,INV_COMPLETE_SINGLE_s0,repeat8,32,7.62939453125e-06,0.0078125,0.09375
qwen,INV_COMPLETE_SINGLE_s0,restore,32,3.7774105072021484,3.75,0.0
qwen,INV_COMPLETE_SINGLE_s0,restore_after4,32,3.7774105072021484,3.75,0.0
qwen,INV_COMPLETE_SINGLE_s1,AB,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s1,ABC,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s1,AB_cross,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s1,BA,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s1,CBA,32,,,0.0
qwen,INV_COMPLETE_SINGLE_s1,noop,32,2.9744644165039062,3.0,0.0
qwen,INV_COMPLETE_SINGLE_s1,overwrite,32,3.814697265625e-06,0.0078125,0.03125
qwen,INV_COMPLETE_SINGLE_s1,repeat2,32,3.814697265625e-06,0.0078125,0.1875
qwen,INV_COMPLETE_SINGLE_s1,repeat4,32,7.62939453125e-06,0.0078125,0.0625
qwen,INV_COMPLETE_SINGLE_s1,repeat8,32,1.1444091796875e-05,0.0078125,0.09375
qwen,INV_COMPLETE_SINGLE_s1,restore,32,2.9744644165039062,3.0,0.0
qwen,INV_COMPLETE_SINGLE_s1,restore_after4,32,2.9744644165039062,3.0,0.0
qwen,INV_SPARSE_CONTINUE_s0,AB,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s0,ABC,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s0,AB_cross,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s0,BA,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s0,CBA,32,,,0.0
qwen,INV_SPARSE_CONTINUE_s0,noop,32,4.367387771606445,4.375,0.0
qwen,INV_SPARSE_CONTINUE_s0,overwrite,32,3.814697265625e-06,0.0078125,0.09375
qwen,INV_SPARSE_CONTINUE_s0,repeat2,32,3.814697265625e-06,0.00390625,0.125
