model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,-2.0,203,108,-1.6773399020650703,0.2595486066959522,0.2150836665643218,0.3076304456242072,0.0147783251231527
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,-1.0,203,108,-1.8121921173457445,0.1166087938127694,0.0885416625067591,0.1455463918638817,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,-0.5,203,108,-1.87284482670535,0.0536265395305774,0.0366512317992286,0.071085307167636,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,0.5,203,108,-1.9809113282875477,-0.0610050185595029,-0.0822241454051784,-0.0390588864339171,0.0197044334975369
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,1.0,203,108,-2.0341748780217666,-0.1143422125850194,-0.1504147424006167,-0.0770158247516295,0.0246305418719211
gemma,DISPUTED,random_orthogonal,orthogonal_2026082101,2.0,203,108,-2.114224137784225,-0.1997974576129589,-0.2818299154647523,-0.1140516553120113,0.0295566502463054
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,-2.0,203,108,-2.0763546836200018,-0.1543692205975085,-0.2089120480542381,-0.0976080345311834,0.0197044334975369
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,-1.0,203,108,-2.006157635174361,-0.0801504668262269,-0.1087010545541106,-0.0518904326230655,0.0098522167487684
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,-0.5,203,108,-1.9670566508335432,-0.0407021634372664,-0.0574845707342948,-0.0242091091855624,0.0098522167487684
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,0.5,203,108,-1.8830049261083743,0.0422935918157483,0.024400799408739,0.0597993794460723,0.0
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,1.0,203,108,-1.8439039408866995,0.0789930513243616,0.0510706014563271,0.1067732449620961,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082102,2.0,203,108,-1.744150249828846,0.1792052402908419,0.1261043548262045,0.2317226034715587,0.0098522167487684
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,-2.0,203,108,-1.9039408853782225,0.0070891170130099,-0.0516999493743994,0.0651053694881682,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,-1.0,203,108,-1.9094827589143089,0.0095968321885591,-0.0232446008718308,0.0429699455882295,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,-0.5,203,108,-1.91163792633658,0.0069926695691214,-0.0118151993893178,0.0252700608407641,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,0.0,203,108,-1.9236453160863791,0.0,0.0,0.0,0.0
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,0.5,203,108,-1.9479679738359497,-0.0178915895981553,-0.0356385040315397,-0.0001916918627641,0.0049261083743842
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,1.0,203,108,-1.9565886699507389,-0.0230999267027701,-0.0549286283230708,0.0090193388316734,0.0098522167487684
gemma,DISPUTED,random_orthogonal,orthogonal_2026082103,2.0,203,108,-1.969211821192004,-0.0271508525367136,-0.0907600340398925,0.0351128426024022,0.0147783251231527
gemma,DISPUTED,wrong_layer,frozen_dim,-2.0,203,108,-4.118226597902223,-2.201051310532623,-2.4882028790236803,-1.9285107994958024,0.1724137931034483
gemma,DISPUTED,wrong_layer,frozen_dim,-1.0,203,108,-3.0735837426678887,-1.1542727666688557,-1.2923032449052474,-1.022413920962976,0.083743842364532
gemma,DISPUTED,wrong_layer,frozen_dim,-0.5,203,108,-2.504310341304159,-0.5819830268989374,-0.6557689574857554,-0.5159119362402478,0.0344827586206896
