actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
qwen,AFFINE_CLAUSE_s1,overwrite,32,2.4921875,2.44097900390625,2.4921875,0.0
qwen,AFFINE_CLAUSE_s1,repeat2,32,1.78125,1.712890625,1.78125,0.0
qwen,AFFINE_CLAUSE_s1,repeat4,32,5.375,5.15966796875,5.375,0.0
qwen,AFFINE_CLAUSE_s1,repeat8,32,12.3671875,11.9344482421875,12.3671875,0.0
qwen,AFFINE_CLAUSE_s1,restore,32,1.783203125,1.6788482666015625,1.783203125,0.0
qwen,AFFINE_CLAUSE_s1,restore_after4,32,5.375,5.2410888671875,5.375,0.0
qwen,CANONICAL_AFFINE_s0,AB,32,,,,0.0
qwen,CANONICAL_AFFINE_s0,ABC,32,,,,0.0
qwen,CANONICAL_AFFINE_s0,AB_cross,32,,,,0.0
qwen,CANONICAL_AFFINE_s0,BA,32,,,,0.0
qwen,CANONICAL_AFFINE_s0,CBA,32,,,,0.0
qwen,CANONICAL_AFFINE_s0,noop,32,2.232421875,2.21612548828125,2.232421875,0.0
qwen,CANONICAL_AFFINE_s0,overwrite,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s0,repeat2,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s0,repeat4,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s0,repeat8,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s0,restore,32,2.232421875,2.21612548828125,2.232421875,0.0
qwen,CANONICAL_AFFINE_s0,restore_after4,32,2.232421875,2.21612548828125,2.232421875,0.0
qwen,CANONICAL_AFFINE_s1,AB,32,,,,0.0
qwen,CANONICAL_AFFINE_s1,ABC,32,,,,0.0
qwen,CANONICAL_AFFINE_s1,AB_cross,32,,,,0.0
qwen,CANONICAL_AFFINE_s1,BA,32,,,,0.0
qwen,CANONICAL_AFFINE_s1,CBA,32,,,,0.0
qwen,CANONICAL_AFFINE_s1,noop,32,2.19921875,2.152618408203125,2.19921875,0.0
qwen,CANONICAL_AFFINE_s1,overwrite,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s1,repeat2,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s1,repeat4,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s1,repeat8,32,0.0,0.0,0.0,1.0
qwen,CANONICAL_AFFINE_s1,restore,32,2.19921875,2.152618408203125,2.19921875,0.0
qwen,CANONICAL_AFFINE_s1,restore_after4,32,2.19921875,2.152618408203125,2.19921875,0.0
qwen,FREE_OVERWRITE_s0,AB,32,,,,0.0
qwen,FREE_OVERWRITE_s0,ABC,32,,,,0.0
qwen,FREE_OVERWRITE_s0,AB_cross,32,,,,0.0
qwen,FREE_OVERWRITE_s0,BA,32,,,,0.0
qwen,FREE_OVERWRITE_s0,CBA,32,,,,0.0
qwen,FREE_OVERWRITE_s0,noop,32,6.634342193603516,4.851164102554321,6.75,0.0
qwen,FREE_OVERWRITE_s0,overwrite,32,1.8317699432373047,1.5079989433288574,1.8125,0.0
qwen,FREE_OVERWRITE_s0,repeat2,32,1.9105186462402344,1.5198490396142006,1.875,0.0
qwen,FREE_OVERWRITE_s0,repeat4,32,4.28485107421875,3.078238680958748,4.25,0.0
qwen,FREE_OVERWRITE_s0,repeat8,32,7.025306701660156,4.331936560571194,7.0,0.0
qwen,FREE_OVERWRITE_s0,restore,32,4.715091705322266,3.265783742070198,4.75,0.0
qwen,FREE_OVERWRITE_s0,restore_after4,32,4.023006916046143,3.1908002719283104,4.02734375,0.0
qwen,FREE_OVERWRITE_s1,AB,32,,,,0.0
qwen,FREE_OVERWRITE_s1,ABC,32,,,,0.0
qwen,FREE_OVERWRITE_s1,AB_cross,32,,,,0.0
qwen,FREE_OVERWRITE_s1,BA,32,,,,0.0
qwen,FREE_OVERWRITE_s1,CBA,32,,,,0.0
qwen,FREE_OVERWRITE_s1,noop,32,6.219687461853027,5.066628359258175,6.234375,0.0
qwen,FREE_OVERWRITE_s1,overwrite,32,4.848091125488281,3.0081003420054913,4.75,0.0
qwen,FREE_OVERWRITE_s1,repeat2,32,2.217052459716797,1.7169472128152847,2.25,0.0
qwen,FREE_OVERWRITE_s1,repeat4,32,5.4562530517578125,4.417304575443268,5.375,0.0
qwen,FREE_OVERWRITE_s1,repeat8,32,8.973930358886719,7.549992859363556,9.0,0.0
qwen,FREE_OVERWRITE_s1,restore,32,5.376544952392578,4.4654383808374405,5.375,0.0
qwen,FREE_OVERWRITE_s1,restore_after4,32,7.324794769287109,5.000900238752365,7.25,0.0
qwen,INVARIANT_SET_s0,AB,32,,,,0.0
qwen,INVARIANT_SET_s0,ABC,32,,,,0.0
qwen,INVARIANT_SET_s0,AB_cross,32,,,,0.0
qwen,INVARIANT_SET_s0,BA,32,,,,0.0
qwen,INVARIANT_SET_s0,CBA,32,,,,0.0
qwen,INVARIANT_SET_s0,noop,32,4.304981231689453,3.4041128158569336,4.375,0.0
qwen,INVARIANT_SET_s0,overwrite,32,3.814697265625e-06,2.0489096641540527e-06,0.00390625,0.0625
qwen,INVARIANT_SET_s0,repeat2,32,3.814697265625e-06,1.34296715259552e-06,0.001953125,0.21875
qwen,INVARIANT_SET_s0,repeat4,32,3.814697265625e-06,2.3990869522094727e-06,0.03125,0.09375
qwen,INVARIANT_SET_s0,repeat8,32,6.67572021484375e-06,3.933906555175781e-06,0.0078125,0.09375
qwen,INVARIANT_SET_s0,restore,32,4.304981231689453,3.4041128754615784,4.375,0.0
qwen,INVARIANT_SET_s0,restore_after4,32,4.304981231689453,3.404112994670868,4.375,0.0
qwen,INVARIANT_SET_s1,AB,32,,,,0.0
qwen,INVARIANT_SET_s1,ABC,32,,,,0.0
qwen,INVARIANT_SET_s1,AB_cross,32,,,,0.0
qwen,INVARIANT_SET_s1,BA,32,,,,0.0
qwen,INVARIANT_SET_s1,CBA,32,,,,0.0
qwen,INVARIANT_SET_s1,noop,32,2.9270710945129395,2.5807852149009705,2.9296875,0.0
qwen,INVARIANT_SET_s1,overwrite,32,3.814697265625e-06,2.294778823852539e-06,0.00390625,0.15625
qwen,INVARIANT_SET_s1,repeat2,32,3.814697265625e-06,1.7918646335601807e-06,0.00390625,0.03125
qwen,INVARIANT_SET_s1,repeat4,32,7.62939453125e-06,2.473592758178711e-06,0.00390625,0.03125
qwen,INVARIANT_SET_s1,repeat8,32,7.62939453125e-06,4.120171070098877e-06,0.00390625,0.0
qwen,INVARIANT_SET_s1,restore,32,2.9270713329315186,2.58078496158123,2.9296875,0.0
qwen,INVARIANT_SET_s1,restore_after4,32,2.9270713329315186,2.580784983932972,2.9296875,0.0
